Index,VFT_A,VFT_B,VFT_C,Viscosity_40C,Viscosity_100C,Viscosity_minus20C,Viscosity_Index,Fuel_Economy,Stribeck_Number,Cost_USD_kg,Sustainability_Score,Low_Temp_Pass,Delta_G
847,8.785042,-866.1133,-2610.4255,4713.8423,4748.069,4678.301,200.0,130408.4,1.9745297e-05,3.711021983055546,78.72743611372051,True,29.319735
411,5.492603,-609.1162,-2158.2534,184.106,185.46638,182.68008,200.0,121755.05,7.711814e-07,3.3858477422525235,75.94748392741172,True,20.570726
580,5.0675273,-531.9324,-2015.4965,122.577324,123.480286,121.62724,200.0,120527.08,5.1345074e-07,3.4110009348445463,76.10995656633817,True,16.41204
146,-89.70811,-2167.4124,-5011.075,0.10025885,0.10025885,0.10025885,180.7447,119636.21,4.199633e-10,3.020350284268546,83.77228469930192,True,37.93016
200,-83.00851,-2100.911,-4883.946,0.10025885,0.10025885,0.10025885,180.7447,119636.21,4.199633e-10,3.672551138211338,90.750927245504,True,33.830517
332,-97.94806,-2359.8245,-5366.439,0.10025885,0.10025885,0.10025885,180.7447,119636.21,4.199633e-10,3.5795822866599383,87.36993184505604,True,45.03354
537,-74.07221,-2190.488,-5080.377,0.10025885,0.10025885,0.10025885,180.7447,119636.21,4.199633e-10,3.147110220435122,86.5926301127279,True,52.73325
671,-92.83733,-2115.8127,-4893.346,0.10025885,0.10025885,0.10025885,180.7447,119636.21,4.199633e-10,3.007202223285504,81.29297606714788,True,22.599836
673,-87.441055,-2364.5305,-5386.853,0.10025885,0.10025885,0.10025885,180.7447,119636.21,4.199633e-10,3.0007056438217687,77.15550341726349,True,54.300655
841,-69.31184,-1231.2549,-3287.5032,0.10025885,0.10025885,0.10025885,180.7447,119636.21,4.199633e-10,3.597931829380191,89.85392993045198,True,27.904165
